sqrt_s,ReOmega_11,ImOmega_11,ReOmega_12,ImOmega_12,ReOmega_21,ImOmega_21,ReOmega_22,ImOmega_22
1.551570,-0.354638,0.778477,-0.017714,-0.471237,0.139229,-0.687131,-0.565813,1.135510
1.553690,-0.356083,0.775763,-0.015909,-0.470138,0.141260,-0.684863,-0.567750,1.131390
1.555370,-0.357217,0.773612,-0.014486,-0.469263,0.142855,-0.683064,-0.569267,1.128120
1.556390,-0.357896,0.772314,-0.013631,-0.468733,0.143812,-0.681978,-0.570174,1.126150
1.556880,-0.358224,0.771685,-0.013217,-0.468475,0.144275,-0.681451,-0.570613,1.125190
1.557900,-0.358898,0.770388,-0.012365,-0.467943,0.145225,-0.680364,-0.571511,1.123220
1.559580,-0.360005,0.768240,-0.010960,-0.467058,0.146789,-0.678562,-0.572987,1.119960
1.561700,-0.361389,0.765530,-0.009198,-0.465936,0.148746,-0.676286,-0.574827,1.115840
1.563970,-0.362854,0.762627,-0.007320,-0.464726,0.150823,-0.673845,-0.576771,1.111440
1.566100,-0.364203,0.759921,-0.005581,-0.463592,0.152740,-0.671567,-0.578558,1.107330
1.567780,-0.365261,0.757778,-0.004211,-0.462689,0.154246,-0.669760,-0.579956,1.104070
1.568790,-0.365895,0.756486,-0.003388,-0.462142,0.155149,-0.668670,-0.580792,1.102110
1.569280,-0.366201,0.755858,-0.002989,-0.461876,0.155586,-0.668140,-0.581196,1.101160
1.570300,-0.366829,0.754567,-0.002169,-0.461328,0.156482,-0.667049,-0.582024,1.099200
1.571980,-0.367862,0.752427,-0.000817,-0.460416,0.157958,-0.665241,-0.583383,1.095950
1.574100,-0.369150,0.749729,0.000879,-0.459261,0.159803,-0.662959,-0.585075,1.091860
1.576380,-0.370515,0.746838,0.002685,-0.458017,0.161761,-0.660510,-0.586863,1.087470
1.578500,-0.371771,0.744145,0.004358,-0.456851,0.163568,-0.658227,-0.588505,1.083390
1.580180,-0.372755,0.742012,0.005675,-0.455923,0.164987,-0.656416,-0.589789,1.080150
1.581190,-0.373344,0.740726,0.006467,-0.455362,0.165837,-0.655324,-0.590556,1.078200
1.581690,-0.373628,0.740102,0.006850,-0.455089,0.166249,-0.654793,-0.590926,1.077250
1.582700,-0.374212,0.738816,0.007637,-0.454526,0.167093,-0.653700,-0.591686,1.075310
1.584380,-0.375171,0.736688,0.008937,-0.453591,0.168482,-0.651890,-0.592931,1.072080
1.586510,-0.376368,0.734004,0.010566,-0.452407,0.170219,-0.649605,-0.594482,1.068010
1.588780,-0.377634,0.731129,0.012300,-0.451131,0.172062,-0.647154,-0.596118,1.063650
1.590900,-0.378798,0.728452,0.013906,-0.449938,0.173761,-0.644870,-0.597620,1.059600
1.592580,-0.379710,0.726332,0.015170,-0.448988,0.175096,-0.643059,-0.598793,1.056390
1.593600,-0.380256,0.725053,0.015929,-0.448414,0.175895,-0.641966,-0.599494,1.054450
1.594090,-0.380519,0.724433,0.016297,-0.448135,0.176282,-0.641436,-0.599832,1.053510
1.595110,-0.381060,0.723155,0.017053,-0.447559,0.177075,-0.640344,-0.600525,1.051580
1.596790,-0.381947,0.721040,0.018299,-0.446603,0.178381,-0.638534,-0.601662,1.048370
1.598910,-0.383054,0.718374,0.019861,-0.445393,0.180013,-0.636250,-0.603075,1.044340
1.601180,-0.384224,0.715518,0.021524,-0.444091,0.181744,-0.633802,-0.604566,1.040010
1.603300,-0.385299,0.712859,0.023062,-0.442873,0.183339,-0.631521,-0.605932,1.035990
1.604990,-0.386140,0.710753,0.024273,-0.441904,0.184591,-0.629713,-0.606998,1.032810
1.606000,-0.386644,0.709484,0.025000,-0.441319,0.185341,-0.628622,-0.607635,1.030890
1.606490,-0.386887,0.708868,0.025353,-0.441034,0.185704,-0.628093,-0.607943,1.029960
1.607510,-0.387385,0.707600,0.026076,-0.440447,0.186449,-0.627003,-0.608572,1.028040
1.609190,-0.388203,0.705500,0.027269,-0.439473,0.187673,-0.625196,-0.609603,1.024860
1.611310,-0.389222,0.702854,0.028765,-0.438241,0.189203,-0.622919,-0.610885,1.020860
1.613590,-0.390298,0.700021,0.030356,-0.436916,0.190825,-0.620478,-0.612234,1.016580
1.615710,-0.391287,0.697383,0.031827,-0.435676,0.192320,-0.618203,-0.613470,1.012600
1.617390,-0.392060,0.695294,0.032985,-0.434692,0.193492,-0.616401,-0.614434,1.009440
1.618400,-0.392522,0.694035,0.033681,-0.434097,0.194195,-0.615314,-0.615009,1.007540
1.618900,-0.392745,0.693424,0.034018,-0.433807,0.194535,-0.614786,-0.615287,1.006620
1.619910,-0.393202,0.692167,0.034709,-0.433211,0.195231,-0.613700,-0.615855,1.004720
1.621590,-0.393953,0.690085,0.035850,-0.432222,0.196378,-0.611901,-0.616785,1.001580
1.623710,-0.394887,0.687462,0.037278,-0.430971,0.197809,-0.609632,-0.617939,0.997617
1.625990,-0.395872,0.684653,0.038798,-0.429626,0.199326,-0.607201,-0.619153,0.993380
1.628110,-0.396777,0.682038,0.040204,-0.428369,0.200723,-0.604937,-0.620264,0.989436
1.629790,-0.397483,0.679969,0.041309,-0.427370,0.201819,-0.603143,-0.621129,0.986315
1.630810,-0.397905,0.678722,0.041973,-0.426767,0.202475,-0.602062,-0.621645,0.984435
1.631300,-0.398109,0.678117,0.042295,-0.426474,0.202792,-0.601537,-0.621894,0.983522
1.632310,-0.398527,0.676871,0.042955,-0.425870,0.203443,-0.600456,-0.622403,0.981644
1.634000,-0.399211,0.674808,0.044043,-0.424868,0.204513,-0.598666,-0.623235,0.978536
1.636120,-0.400063,0.672210,0.045406,-0.423601,0.205850,-0.596410,-0.624268,0.974621
1.638390,-0.400960,0.669429,0.046855,-0.422240,0.207265,-0.593993,-0.625352,0.970432
1.640510,-0.401783,0.666840,0.048195,-0.420968,0.208568,-0.591742,-0.626342,0.966534
1.642190,-0.402426,0.664792,0.049249,-0.419959,0.209589,-0.589960,-0.627113,0.963450
1.643210,-0.402809,0.663557,0.049882,-0.419349,0.210201,-0.588886,-0.627571,0.961592
1.643700,-0.402994,0.662958,0.050188,-0.419053,0.210497,-0.588364,-0.627793,0.960691
1.644720,-0.403373,0.661725,0.050817,-0.418443,0.211103,-0.587290,-0.628245,0.958835
1.646400,-0.403994,0.659684,0.051853,-0.417430,0.212100,-0.585513,-0.628984,0.955764
1.648520,-0.404766,0.657114,0.053151,-0.416151,0.213344,-0.583272,-0.629899,0.951897
1.650790,-0.405579,0.654362,0.054531,-0.414777,0.214661,-0.580872,-0.630859,0.947760
1.652920,-0.406323,0.651802,0.055806,-0.413493,0.215873,-0.578638,-0.631733,0.943911
