sqrt_s	ReOmega_11	ImOmega_11	ReOmega_12	ImOmega_12	ReOmega_21	ImOmega_21	ReOmega_22	ImOmega_22
0.973436	0.505142	-0.425952	-2.05512	1.73294	-3.44946	-1.35866	3.43452	5.52758
0.973724	0.519037	-0.430511	-2.07956	1.72488	-3.44965	-1.39088	3.40232	5.57267
0.973892	0.52725	-0.43309	-2.09389	1.71995	-3.44953	-1.40984	3.38304	5.59897
0.97418	0.541587	-0.437389	-2.1187	1.71107	-3.44888	-1.4428	3.34891	5.64425
0.974468	0.556205	-0.441509	-2.14371	1.70165	-3.44768	-1.47622	3.31351	5.6896
0.974636	0.564843	-0.44382	-2.15837	1.69592	-3.44671	-1.49588	3.29232	5.71602
0.974924	0.579919	-0.447638	-2.18372	1.68561	-3.44456	-1.53004	3.25485	5.76146
0.975212	0.595284	-0.451249	-2.20928	1.67472	-3.44179	-1.56466	3.21602	5.80691
0.97538	0.604362	-0.45325	-2.22424	1.6681	-3.43988	-1.58502	3.19279	5.83335
0.975668	0.620199	-0.456511	-2.2501	1.65623	-3.43605	-1.62038	3.15174	5.87877
0.975956	0.636334	-0.459533	-2.27613	1.64373	-3.43153	-1.65619	3.10923	5.92411
0.976124	0.645863	-0.461177	-2.29137	1.63614	-3.42857	-1.67724	3.08381	5.95045
0.976412	0.662483	-0.463797	-2.31768	1.62258	-3.42288	-1.71379	3.03891	5.99562
0.9767	0.679408	-0.466143	-2.34414	1.60832	-3.41641	-1.75077	2.99246	6.04063
0.976868	0.6894	-0.467376	-2.3596	1.59968	-3.41228	-1.7725	2.9647	6.06673
0.977156	0.706821	-0.469262	-2.38629	1.58427	-3.40451	-1.8102	2.9157	6.11141
0.977444	0.724553	-0.470833	-2.4131	1.56809	-3.39587	-1.84833	2.86503	6.1558
0.977612	0.735017	-0.471596	-2.42875	1.55832	-3.39044	-1.87072	2.83477	6.18149
0.9779	0.753254	-0.472641	-2.45573	1.54089	-3.38036	-1.90953	2.78137	6.22538
0.978188	0.771807	-0.473328	-2.4828	1.52263	-3.36932	-1.94875	2.7262	6.26885
0.978356	0.782751	-0.473556	-2.49858	1.51161	-3.36244	-1.97176	2.69326	6.29394
0.978644	0.801815	-0.473643	-2.52574	1.49199	-3.34979	-2.01162	2.63517	6.33668
0.978932	0.821198	-0.473321	-2.55295	1.47147	-3.33608	-2.05186	2.57518	6.37885
0.9791	0.832626	-0.472939	-2.56879	1.45909	-3.3276	-2.07545	2.53939	6.40311
0.979388	0.852524	-0.471935	-2.59601	1.43709	-3.3121	-2.11629	2.47628	6.44429
0.979676	0.872742	-0.470467	-2.62322	1.41409	-3.29542	-2.15746	2.41116	6.48473
0.979844	0.884656	-0.46939	-2.63904	1.40025	-3.28515	-2.18158	2.37232	6.5079
0.980132	0.905392	-0.467146	-2.66617	1.37564	-3.26649	-2.22328	2.30385	6.54706
0.98042	0.926445	-0.464374	-2.69322	1.34996	-3.2465	-2.26528	2.23324	6.58526
0.980588	0.938846	-0.462507	-2.70891	1.3345	-3.23426	-2.28984	2.19113	6.60703
0.980876	0.960416	-0.458852	-2.73578	1.30705	-3.21206	-2.33229	2.11693	6.64361
0.981164	0.982302	-0.454594	-2.76247	1.27843	-3.1884	-2.37496	2.04042	6.67898
0.981332	0.995185	-0.451827	-2.77792	1.26121	-3.17393	-2.3999	1.99481	6.69899
0.98162	1.01759	-0.446561	-2.80431	1.23065	-3.14779	-2.44293	1.91445	6.73232
0.981908	1.0403	-0.440606	-2.83042	1.19879	-3.12	-2.48611	1.8316	6.76417
0.982076	1.05366	-0.436809	-2.84549	1.17964	-3.10305	-2.51131	1.78221	6.78198
0.982364	1.07689	-0.429696	-2.87114	1.14563	-3.07247	-2.55474	1.69517	6.8113
0.982652	1.10042	-0.421789	-2.89641	1.11019	-3.04001	-2.59823	1.60541	6.83878
0.98282	1.11427	-0.416804	-2.91092	1.08887	-3.02023	-2.62358	1.55189	6.85387
0.983108	1.13832	-0.407553	-2.93554	1.05101	-2.98458	-2.66719	1.45751	6.87822
0.983396	1.16269	-0.397372	-2.95964	1.01152	-2.94675	-2.71077	1.3601	6.90029
0.983564	1.17702	-0.390996	-2.97341	0.98774	-2.92372	-2.73612	1.30197	6.91202
0.983852	1.20194	-0.379225	-2.99663	0.945473	-2.88215	-2.77968	1.19929	6.93021
0.98414	1.22718	-0.366337	-3.01917	0.90128	-2.83799	-2.82311	1.09308	6.94554
0.984308	1.24204	-0.35829	-3.03196	0.874623	-2.81105	-2.84832	1.02957	6.95306
0.984596	1.26792	-0.343454	-3.05338	0.827096	-2.76233	-2.89163	0.917072	6.96355
0.984884	1.29424	-0.327216	-3.074	0.777183	-2.71011	-2.93481	0.799708	6.97058
0.985052	1.30962	-0.316873	-3.08523	0.746494	-2.67837	-2.95924	0.729824	6.97142
0.98534	1.33679	-0.29823	-3.1044	0.692571	-2.62025	-3.0025	0.604438	6.97264
0.985628	1.3646	-0.277261	-3.12249	0.63443	-2.55687	-3.04502	0.471472	6.96763
0.985796	1.38067	-0.263971	-3.13138	0.598691	-2.51841	-3.06874	0.392697	6.95995
0.986084	1.41018	-0.239598	-3.14797	0.534857	-2.4458	-3.11251	0.246626	6.9481
0.986372	1.44132	-0.21094	-3.1635	0.462985	-2.36034	-3.15583	0.0798067	6.92663
0.98654	1.45553	-0.191259	-3.16155	0.415433	-2.32272	-3.17056	0.0128347	6.88676
0.986828	1.49957	-0.155347	-3.19122	0.330593	-2.19243	-3.23539	-0.237994	6.88519
0.987116	1.53253	-0.0813887	-3.17804	0.168778	-2.01725	-3.23443	-0.548698	6.70732
0.987218	1.52098	-0.0563254	-3.12025	0.11555	-1.93379	-3.17379	-0.731875	6.51093
0.98728	1.53528	-0.0492442	-3.08416	0.0989244	-1.93207	-3.14448	-0.652279	6.3168
0.987342	1.54053	-0.0115288	-3.05294	0.101276	-1.92378	-3.13001	-0.520002	6.25892
0.987378	1.52204	-0.00510316	-3.04593	0.0986207	-1.91799	-3.1116	-0.490761	6.29148
0.98744	1.51282	0.00417336	-3.02825	0.0942797	-1.9116	-3.10217	-0.481931	6.2856
0.987502	1.50543	0.0123592	-3.01259	0.0899908	-1.90045	-3.09092	-0.479391	6.27051
0.987538	1.5018	0.0167924	-3.0042	0.0874706	-1.8942	-3.08425	-0.478047	6.25971
0.9876	1.49622	0.0239763	-2.99068	0.0831366	-1.88382	-3.07293	-0.476464	6.23995
0.987662	1.49125	0.0307296	-2.97815	0.0788122	-1.87376	-3.06253	-0.475938	6.22064
0.987698	1.4886	0.034481	-2.97124	0.0763155	-1.86779	-3.05658	-0.476406	6.20922
0.98776	1.48438	0.0406943	-2.95996	0.0720134	-1.85815	-3.04668	-0.476943	6.18967
0.987822	1.48048	0.0466513	-2.94929	0.0677225	-1.84877	-3.03748	-0.478012	6.17096
0.987858	1.47835	0.0500025	-2.94333	0.0652459	-1.84324	-3.03223	-0.479155	6.16012
0.98792	1.4749	0.0556071	-2.93349	0.0609854	-1.83418	-3.02348	-0.480903	6.14172
0.987982	1.47165	0.0610365	-2.92408	0.0567368	-1.82532	-3.01526	-0.482986	6.12406
0.988018	1.46985	0.0641131	-2.91879	0.0542831	-1.8201	-3.01056	-0.484568	6.11388
0.98808	1.46691	0.069288	-2.90998	0.0500659	-1.81149	-3.0027	-0.487119	6.09661
0.988142	1.46413	0.0743334	-2.9015	0.0458602	-1.80301	-2.99525	-0.489905	6.07996
0.988178	1.46257	0.077206	-2.89669	0.0434297	-1.79804	-2.99099	-0.491804	6.07036
0.98824	1.46	0.082056	-2.88867	0.0392542	-1.78977	-2.98384	-0.494931	6.05407
0.988302	1.45755	0.0868055	-2.88089	0.0350895	-1.78161	-2.97701	-0.498234	6.0383
0.988338	1.45618	0.0895186	-2.87647	0.0326812	-1.77684	-2.9731	-0.500374	6.0292
0.9884	1.4539	0.0941118	-2.86906	0.0285449	-1.76884	-2.96651	-0.503937	6.01374
0.988462	1.45172	0.0986242	-2.86185	0.0244183	-1.76094	-2.9602	-0.507638	5.99872
0.988498	1.45048	0.101208	-2.85774	0.0220308	-1.75632	-2.95657	-0.509968	5.99005
0.98856	1.44844	0.105592	-2.85083	0.0179306	-1.74855	-2.95045	-0.513873	5.9753
0.988622	1.44647	0.109909	-2.84409	0.013839	-1.74087	-2.94456	-0.517889	5.96092
0.988658	1.44535	0.112386	-2.84023	0.0114705	-1.73638	-2.94117	-0.520373	5.95262
0.98872	1.4435	0.116594	-2.83374	0.00740325	-1.72881	-2.93545	-0.524554	5.93848
0.988782	1.44171	0.120747	-2.82738	0.00334333	-1.72131	-2.92991	-0.528828	5.92465
0.988818	1.44069	0.123134	-2.82374	0.000992183	-1.71693	-2.92673	-0.531438	5.91666
0.98888	1.43899	0.127194	-2.8176	-0.00304542	-1.70952	-2.92134	-0.535848	5.90305
0.988942	1.43735	0.131206	-2.81157	-0.00707687	-1.70218	-2.91611	-0.540335	5.8897
0.988978	1.43642	0.133515	-2.80812	-0.00941248	-1.69789	-2.9131	-0.543052	5.88198
0.98904	1.43486	0.137447	-2.80228	-0.0134236	-1.69063	-2.90799	-0.547654	5.86882
0.989102	1.43334	0.141338	-2.79654	-0.0174298	-1.68342	-2.90303	-0.552323	5.85589
0.989138	1.43248	0.143579	-2.79324	-0.0197516	-1.67922	-2.90016	-0.555131	5.84841
0.9892	1.43104	0.1474	-2.78766	-0.0237394	-1.67209	-2.89531	-0.559898	5.83564
0.989262	1.42963	0.151186	-2.78217	-0.0277233	-1.665	-2.89057	-0.564723	5.82308
0.989298	1.42883	0.153368	-2.77901	-0.0300331	-1.66086	-2.88784	-0.567611	5.8158
0.98936	1.42749	0.157091	-2.77366	-0.0340006	-1.65384	-2.8832	-0.57252	5.80338
0.989422	1.42619	0.160783	-2.76839	-0.0379654	-1.64685	-2.87867	-0.577482	5.79114
0.989458	1.42544	0.162914	-2.76535	-0.0402649	-1.64278	-2.87605	-0.58044	5.78405
0.98952	1.4242	0.166551	-2.76021	-0.044215	-1.63586	-2.8716	-0.585476	5.77193
